GeoType,GeogName,GeoID,Borough,Pop_1P,PopU181P,FemP,WtNHP,CvLFUEm2P,PBwPvP,ROcHU1P,EA_LTHSGraP,CvNIDP
NTA2010,Bath Beach,BK27,Brooklyn,33163,21.42,49.7,43.7,7.1,14.3,60.9,23,10.4
NTA2010,Bay Ridge,BK31,Brooklyn,79134,19.09,52.2,63.4,7.5,15.5,64,13.8,10.2
NTA2010,Bedford,BK75,Brooklyn,75318,29.71,51.6,35.1,12.5,34.4,81.5,21.7,10.2
NTA2010,Bensonhurst East,BK29,Brooklyn,64267,19.87,51.3,46.5,8.5,19.3,65.5,25.1,10.4
NTA2010,Bensonhurst West,BK28,Brooklyn,91646,21.05,51.3,42.7,8.8,18.3,65.5,28.1,11.1
NTA2010,Borough Park,BK88,Brooklyn,105913,39.34,49,75.7,5.7,38.3,68.8,27.1,8.3
NTA2010,Brighton Beach,BK19,Brooklyn,34157,18.46,52.5,69.5,7.8,26.9,68.9,13,18.3
NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,24140,13.55,50.3,72.3,3.8,10.3,56.8,3,8
NTA2010,Brownsville,BK81,Brooklyn,60124,27.63,58.4,1.2,15.3,39.9,85.8,27.7,13.7
NTA2010,Bushwick North,BK77,Brooklyn,60834,22.81,49,15.2,12.6,30.1,89.5,39.6,7.3
NTA2010,Bushwick South,BK78,Brooklyn,75003,21.32,51,14.5,12.8,27.3,84.4,30.9,10.3
NTA2010,Canarsie,BK50,Brooklyn,88367,22.75,56,4.6,8.5,14.7,51.3,14.7,9.4
NTA2010,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,42463,20.33,52.8,60.7,8.2,13.7,71.2,12.7,10.7
NTA2010,Clinton Hill,BK69,Brooklyn,38655,18.64,53.1,40.1,7.9,17.5,66.4,8,7
NTA2010,Crown Heights North,BK61,Brooklyn,107134,20.58,55,15.7,9.3,27.8,86,18.5,9.7
NTA2010,Crown Heights South,BK63,Brooklyn,41962,24.24,53,28.2,12.6,20.2,86.7,14.4,8.5
NTA2010,Cypress Hills-City Line,BK83,Brooklyn,48899,25.64,51.9,3.2,7.9,25.6,67.5,27.1,8.1
NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,42245,17.66,51.9,44.8,8.8,20.6,74.4,12.9,11.4
NTA2010,Dyker Heights,BK30,Brooklyn,45877,21.96,51.4,46.7,8.4,17.6,53.5,28,9.7
NTA2010,East Flatbush-Farragut,BK91,Brooklyn,53535,21.73,57,1.7,8.2,13.4,57.1,12.7,7.9
NTA2010,East New York,BK82,Brooklyn,94448,27.55,54.8,1.7,11.3,30.8,76.4,20.5,12.3
NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,29447,29.05,55.6,1.9,15.7,36,78.4,27.1,12.3
NTA2010,East Williamsburg,BK90,Brooklyn,35985,13.18,51.6,44.1,8,19.9,84,20.6,11.9
NTA2010,Erasmus,BK95,Brooklyn,29149,24.83,56.1,4.2,10.1,20,77.5,16.1,6.9
NTA2010,Flatbush,BK42,Brooklyn,108653,24.23,53.7,22.4,8.5,19.7,82.5,19.7,9.7
NTA2010,Flatlands,BK58,Brooklyn,72540,22.87,53.9,15.8,9.9,11,41,12.4,8.1
NTA2010,Fort Greene,BK68,Brooklyn,30288,18.13,55,28.2,10.2,23.6,75.3,17.9,11.6
NTA2010,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,47997,24.17,51.7,67.6,7.1,6.6,27.4,9,9.1
NTA2010,Gravesend,BK26,Brooklyn,30288,21.38,54,50.4,10.8,21.5,66.5,21.9,14.9
NTA2010,Greenpoint,BK76,Brooklyn,33351,10.08,52.1,75.5,5.5,12.3,80.2,9.1,7.5
